"id","name","price","description","color","forWinter","forSummer","weight","dimensions"     
1,"Alpine Hiking Boots","20.00€","Durable boots for mountain treks","Red","Yes","No","1.25kg","16x19x37cm"   
2,"Summer Beach Towel","70.00€","Soft, absorbent, and colorful","Black","No","Yes","0.70kg","30x50x34cm" 
3,"Stainless Thermos","1.45€","Keeps beverages hot or cold","Yellow","Yes","Yes","1.77kg","40x30x22cm"
4,"LED Camping Lantern","9.76€","Bright, long-lasting light","Purple","Yes","Yes","0.61kg","42x21x12cm"
5,"Floral Sundress","6.00€","Light and breezy for summer","Blue","No","Yes","0.87kg","Size M"
6,"Woolen Winter Scarf","5.89€","Warm and stylish","Grey","No","No","1.45kg","43x34x31cm"
7,"Travel Backpack","45.10€","Spacious and durable","Pink","No","No","1.77kg","11x43x25cm"
8,"Sports Water Bottle","2.00€","Leakproof and insulated","Red","Yes","Yes","0.24kg","21x22x10cm"
9,"Insulated Snow Pants","6.78€","Waterproof and warm","Pink","No","No","0.77kg","28x46x36cm"
10,"UV Protection Sunglasses","10.00€","Stylish and protective","Pink","No","Yes","0.55kg","33x41x34cm"
